,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
884,SHARP ,Full HD LED,46,151990,151990,Linux,
885,SHARP ,Full HD LED,70,449900,449900,Linux,
886,SHARP ,Full HD LED,52,199990,199990,Linux,
887,SHARP ,Full HD LED,40,103990,103990,Linux,
888,SHARP ,HD LED,32,15990,22500,Linux,3.0
889,SHARP ,HD LED,24,8220,14990,Linux,3.7
890,SANSUI ,144Hz,43,30490,35350,Linux,4.1
891,SANSUI ,144Hz,55,40999,53290,Linux,4.2
892,SANSUI ,HD LED,32,15290,20990,Linux,
893,SANSUI ,QLED Ultra HD,55,49900,72590,Linux,4.3
894,SANSUI ,144Hz,65,47999,70290,Linux,4.1
895,SANSUI ,Full HD LED,49,25999,49999,Android,4.3
896,SANSUI ,144Hz,49,59990,59990,Linux,
897,SANSUI ,HD LED,24,10500,14900,Android,
898,SONY ,144Hz,55,79290,109900,Linux,4.7
899,SONY ,Full HD LED,43,44900,44900,Linux,4.6
900,SONY ,144Hz,65,118641,183249,Linux,4.7
901,SONY ,144Hz,50,83491,99913,Linux,4.7
902,SONY ,Full HD LED,43,53423,53423,Linux,4.4
903,SONY ,Full HD LED,40,29999,49900,Linux,4.4
904,SONY ,HD LED,32,25990,31990,Linux,4.4
905,SONY ,Full HD LED,32,21223,33900,Linux,4.5
906,SONY ,144Hz,49,54999,114900,Linux,4.6
907,SONY ,Full HD LED,43,44999,57900,Linux,4.4
908,SONY ,Full HD LED,40,41499,51900,Linux,4.6
909,SONY ,144Hz,65,149990,184990,Linux,4.3
910,SONY ,HD LED,32,32900,32900,Linux,4.4
911,SONY ,Full HD LED,43,56900,56900,Linux,4.6
